pass_order,condition_id,sample_id,ae_rms,vib_rms
298,15,18,0.8344355821609497,0.6994777321815491
299,15,19,0.988980770111084,0.6819594502449036
300,15,20,1.167497158050537,0.7984193563461304
301,16,1,0.7453525066375732,0.7660842537879944
302,16,2,0.4570785462856293,0.9203372597694397
303,16,3,0.910660445690155,0.855823278427124
304,16,4,0.7872695922851562,0.795032262802124
305,16,5,1.0361186265945435,0.8204330801963806
306,16,6,0.5821161270141602,0.8726643919944763
307,16,7,0.8445188999176025,0.9372574687004089
308,16,8,0.9213322997093201,1.051045298576355
309,16,9,1.1488395929336548,0.976902186870575
310,16,10,0.744838297367096,1.1051137447357178
311,16,11,1.021485447883606,0.9480796456336975
312,16,12,0.7882895469665527,0.9907692074775696
313,16,13,1.2484878301620483,0.9288166165351868
314,16,14,1.0404748916625977,1.1426130533218384
315,16,15,1.3283665180206299,1.0085028409957886
316,16,16,1.4258251190185547,0.9675060510635376
317,16,17,0.9075732231140137,0.9155296087265015
318,16,18,1.0296128988265991,0.89935702085495
319,16,19,1.3164992332458496,0.8777666091918945
320,16,20,0.8112421631813049,0.9245848655700684
