family,config,learner,fold,mae
time-domain,ae_features+vib_features,RandomForestModel,15,0.011051754745470906
time-domain,ae_features+vib_features,RandomForestModel,16,0.029002464045592445
time-domain,ae_features+vib_features,RidgeRegressionModel,1,0.01825760491192341
time-domain,ae_features+vib_features,RidgeRegressionModel,2,0.022482039406895638
time-domain,ae_features+vib_features,RidgeRegressionModel,3,0.05797995254397392
time-domain,ae_features+vib_features,RidgeRegressionModel,4,0.0662454217672348
time-domain,ae_features+vib_features,RidgeRegressionModel,5,0.020500801503658295
time-domain,ae_features+vib_features,RidgeRegressionModel,6,0.04686218500137329
time-domain,ae_features+vib_features,RidgeRegressionModel,7,0.20232224464416504
time-domain,ae_features+vib_features,RidgeRegressionModel,8,0.06580023467540741
time-domain,ae_features+vib_features,RidgeRegressionModel,9,0.021523796021938324
time-domain,ae_features+vib_features,RidgeRegressionModel,10,0.015401413664221764
time-domain,ae_features+vib_features,RidgeRegressionModel,11,0.04008505493402481
time-domain,ae_features+vib_features,RidgeRegressionModel,12,0.02460227534174919
time-domain,ae_features+vib_features,RidgeRegressionModel,13,0.01995701529085636
time-domain,ae_features+vib_features,RidgeRegressionModel,14,0.05705759674310684
time-domain,ae_features+vib_features,RidgeRegressionModel,15,0.022050686180591583
time-domain,ae_features+vib_features,RidgeRegressionModel,16,0.02001204900443554
time-domain,ae_features+vib_features,LightGBMModel,1,0.016248892319341776
time-domain,ae_features+vib_features,LightGBMModel,2,0.017769651922334588
time-domain,ae_features+vib_features,LightGBMModel,3,0.011761301463373817
time-domain,ae_features+vib_features,LightGBMModel,4,0.01738373338930225
time-domain,ae_features+vib_features,LightGBMModel,5,0.01149447781643866
time-domain,ae_features+vib_features,LightGBMModel,6,0.0339926703014531
time-domain,ae_features+vib_features,LightGBMModel,7,0.24488102881420654
time-domain,ae_features+vib_features,LightGBMModel,8,0.09593053596013297
time-domain,ae_features+vib_features,LightGBMModel,9,0.01918038083815316
time-domain,ae_features+vib_features,LightGBMModel,10,0.025921621597941414
time-domain,ae_features+vib_features,LightGBMModel,11,0.06960961937122373
time-domain,ae_features+vib_features,LightGBMModel,12,0.018034921012348007
time-domain,ae_features+vib_features,LightGBMModel,13,0.009675666548880106
time-domain,ae_features+vib_features,LightGBMModel,14,0.08490908174142989
time-domain,ae_features+vib_features,LightGBMModel,15,0.025542703828733367
