condition_id,y_true,y_pred_deterministic,y_pred,y_std,lower,upper,covered,abs_error,interval_width,checkpoint,checkpoint_sha256,fold
4,0.0914,0.23190063,0.23355612,0.039749034,0.15564802,0.31146422,False,0.14215612,0.1558162,checkpoints/ResNetVibCNN_vib_spec_fold3_repeat0.pt,c7186cdc135ed146ad602e5d40a61e60de276dc6b10f340597cb9a05d6c6b8e2,3
4,0.088,0.19942944,0.1990712,0.0426858,0.11540703,0.28273538,False,0.1110712,0.16732836,checkpoints/ResNetVibCNN_vib_spec_fold3_repeat0.pt,c7186cdc135ed146ad602e5d40a61e60de276dc6b10f340597cb9a05d6c6b8e2,3
4,0.0848,0.2865688,0.28218642,0.055701338,0.1730118,0.39136106,False,0.19738641,0.21834926,checkpoints/ResNetVibCNN_vib_spec_fold3_repeat0.pt,c7186cdc135ed146ad602e5d40a61e60de276dc6b10f340597cb9a05d6c6b8e2,3
4,0.092,0.28997847,0.2752131,0.058283597,0.16097724,0.38944894,False,0.18321308,0.2284717,checkpoints/ResNetVibCNN_vib_spec_fold3_repeat0.pt,c7186cdc135ed146ad602e5d40a61e60de276dc6b10f340597cb9a05d6c6b8e2,3
4,0.0914,0.26711917,0.2736905,0.051781315,0.17219912,0.37518185,False,0.1822905,0.20298274,checkpoints/ResNetVibCNN_vib_spec_fold3_repeat0.pt,c7186cdc135ed146ad602e5d40a61e60de276dc6b10f340597cb9a05d6c6b8e2,3
4,0.0858,0.22829615,0.23000067,0.045149967,0.14150673,0.31849462,False,0.14420068,0.17698789,checkpoints/ResNetVibCNN_vib_spec_fold3_repeat0.pt,c7186cdc135ed146ad602e5d40a61e60de276dc6b10f340597cb9a05d6c6b8e2,3
4,0.0812,0.23295009,0.23652105,0.052969646,0.13270053,0.34034157,False,0.15532105,0.20764104,checkpoints/ResNetVibCNN_vib_spec_fold3_repeat0.pt,c7186cdc135ed146ad602e5d40a61e60de276dc6b10f340597cb9a05d6c6b8e2,3
5,0.1086,0.090612434,0.08841716,0.007823596,0.07308291,0.103751406,False,0.02018284,0.030668497,checkpoints/ResNetVibCNN_vib_spec_fold4_repeat0.pt,31cd74f6d9ebfa1f2df30dc2caeb4fc17d5f7bf68ca3c690356779125eaf3322,4
5,0.1066,0.091567636,0.09114401,0.00756571,0.07631522,0.105972804,False,0.015455991,0.029657587,checkpoints/ResNetVibCNN_vib_spec_fold4_repeat0.pt,31cd74f6d9ebfa1f2df30dc2caeb4fc17d5f7bf68ca3c690356779125eaf3322,4
5,0.1068,0.091280706,0.090069935,0.007816092,0.07475039,0.105389476,False,0.016730063,0.030639082,checkpoints/ResNetVibCNN_vib_spec_fold4_repeat0.pt,31cd74f6d9ebfa1f2df30dc2caeb4fc17d5f7bf68ca3c690356779125eaf3322,4
5,0.1016,0.09110311,0.08836834,0.00805152,0.07258736,0.10414932,True,0.013231657,0.031561956,checkpoints/ResNetVibCNN_vib_spec_fold4_repeat0.pt,31cd74f6d9ebfa1f2df30dc2caeb4fc17d5f7bf68ca3c690356779125eaf3322,4
5,0.09,0.09105674,0.08792129,0.007449469,0.07332033,0.102522254,True,0.002078712,0.029201925,checkpoints/ResNetVibCNN_vib_spec_fold4_repeat0.pt,31cd74f6d9ebfa1f2df30dc2caeb4fc17d5f7bf68ca3c690356779125eaf3322,4
5,0.0954,0.09196546,0.090023726,0.008163701,0.074022874,0.10602458,True,0.005376272,0.032001704,checkpoints/ResNetVibCNN_vib_spec_fold4_repeat0.pt,31cd74f6d9ebfa1f2df30dc2caeb4fc17d5f7bf68ca3c690356779125eaf3322,4
5,0.093,0.09158173,0.09012727,0.0071075712,0.076196425,0.10405811,True,0.0028727353,0.027861685,checkpoints/ResNetVibCNN_vib_spec_fold4_repeat0.pt,31cd74f6d9ebfa1f2df30dc2caeb4fc17d5f7bf68ca3c690356779125eaf3322,4
5,0.0904,0.09104813,0.09008203,0.0074026003,0.07557293,0.104591124,True,0.00031797588,0.029018193,checkpoints/ResNetVibCNN_vib_spec_fold4_repeat0.pt,31cd74f6d9ebfa1f2df30dc2caeb4fc17d5f7bf68ca3c690356779125eaf3322,4
5,0.097,0.0906061,0.08845192,0.0068442165,0.075037256,0.10186659,True,0.008548081,0.026829332,checkpoints/ResNetVibCNN_vib_spec_fold4_repeat0.pt,31cd74f6d9ebfa1f2df30dc2caeb4fc17d5f7bf68ca3c690356779125eaf3322,4
5,0.0952,0.09024752,0.088064104,0.0082619535,0.07187068,0.10425753,True,0.007135898,0.032386854,checkpoints/ResNetVibCNN_vib_spec_fold4_repeat0.pt,31cd74f6d9ebfa1f2df30dc2caeb4fc17d5f7bf68ca3c690356779125eaf3322,4
5,0.0954,0.09159941,0.089655116,0.0074186204,0.07511462,0.10419561,True,0.005744882,0.029080987,checkpoints/ResNetVibCNN_vib_spec_fold4_repeat0.pt,31cd74f6d9ebfa1f2df30dc2caeb4fc17d5f7bf68ca3c690356779125eaf3322,4
5,0.1036,0.090048335,0.08760501,0.0061945077,0.07546377,0.09974624,False,0.015994996,0.02428247,checkpoints/ResNetVibCNN_vib_spec_fold4_repeat0.pt,31cd74f6d9ebfa1f2df30dc2caeb4fc17d5f7bf68ca3c690356779125eaf3322,4
